Site,Sampling Location Description,Location Number,QR Code,Sample Label,Date,CalendarYear,Season,WaterYear,WaterSeason,Lake/Dayton,SRP mg P/L,N0x mg N/L,Urea mg N/L,NH4 mg N/L,TN mg N/L,TP mg P/L,Water Depth (cm),Temp (°C),pH,DO mgL,DO (%Sat),Conductivity (µS/cm),Turbidity (FNU),Notes,Is the data in Survey123?,NOx/SRP Analysis Date,TN/TP Analysis Date,NH4+ Analysis Date,Urea Analysis Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,South Pool (Near GMR Connector),4,W01623,032122_SC_W0054_4,3/21/2022,2022,Spring,2022,Winter,Dayton,0.004,2.516,0.009,0.011,3.567,0.094,,14.7,8.82,14.95,147.6,383,25.6,,Yes,6/15/2022,6/27/2022,6/27/2022,5/24/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Great Miami River (Wetland inflow),5,W01624,032122_SC_W0055_5,3/21/2022,2022,Spring,2022,Winter,Dayton,0.015,4.361,0.017,0.023,5.609,0.1,,10.4,8.42,12.26,109.6,571,36.24,,Yes,6/15/2022,6/27/2022,6/27/2022,5/24/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Great Miami River (Upstream at Covered Bridge),6,W01625,032122_SC_W0056_6,3/21/2022,2022,Spring,2022,Winter,Dayton,0.025,4.133,0.022,0.035,5.051,0.178,,10.4,8.37,11.39,102,563,49.75,,Yes,6/15/2022,6/27/2022,6/27/2022,5/24/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Springcreek (Upstream of SC Connector),1,W01631,04192022_SPC_1,4/19/2022,2022,Spring,2022,Spring,Dayton,0.048,4.62,0.0462,0.005,5.027,0.005,,8.1,8.32,12.77,109,629,2.65,,Yes,6/13/2022,6/29/2022,9/20/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,North Pool (Near SC Conncetor),2,W01632,04192022_SPC_2,4/19/2022,2022,Spring,2022,Spring,Dayton,0.004,2.475,0.0077,0.018,3.94,0.005,,9.1,8.28,13.88,121,589,1.86,,Yes,6/13/2022,6/29/2022,9/20/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Connecting Channel,3,W01633,04192022_SPC_3,4/19/2022,2022,Spring,2022,Spring,Dayton,0.075,2.56,0.453,0.015,4.758,0.005,,10.4,8.46,16.5,150,560,4.5,,Yes,6/13/2022,6/29/2022,9/20/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,South Pool (Near GMR Connector),4,W01634,04192022_SPC_4,4/19/2022,2022,Spring,2022,Spring,Dayton,0.0015,1.157,0.094,0.003,3.095,0.005,,11.5,8.7,14.2,131,471,4.98,,Yes,6/13/2022,6/29/2022,9/20/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Great Miami River (Wetland inflow),5,W01635,04192022_SPC_5,4/19/2022,2022,Spring,2022,Spring,Dayton,0.012,1.539,0.0647,0.011,4.618,0.064,,8.5,8.15,12.16,104.8,599,22.8,,Yes,6/13/2022,6/29/2022,9/20/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Great Miami River (Upstream at Covered Bridge),6,W01636,04192022_SPC_6,4/19/2022,2022,Spring,2022,Spring,Dayton,0.025,2.707,0.0144,0.009,4.572,0.114,,9.0,8.21,11.5,99,583,28.8,,Yes,6/13/2022,6/29/2022,9/20/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Springcreek (Upstream of SC Connector),1,W01647,052022_SPC_1,5/20/2022,2022,Spring,2022,Spring,Dayton,0.0015,3.111,0.0084,0.004,3.652,0.005,,17.3,8.43,10.18,110.4,608,2.6,,Data is in Survey123,6/15/2022,6/27/2022,9/20/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,North Pool (Near SC Conncetor),2,W01648,052022_SPC_2,5/20/2022,2022,Spring,2022,Spring,Dayton,0.0015,2.443,0.0053,0.007,2.978,0.005,,15.5,7.92,17.75,179.1,622,31.55,,Data is in Survey123,6/15/2022,6/27/2022,9/20/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Connecting Channel,3,W01649,052022_SPC_3,5/20/2022,2022,Spring,2022,Spring,Dayton,0.0015,2.342,0.0071,0.01,2.262,0.005,,17.3,8.95,23.72,256.8,495.5,11.11,,Data is in Survey123,6/15/2022,6/27/2022,9/20/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,South Pool (Near GMR Connector),4,W01650,052022_SPC_4,5/20/2022,2022,Spring,2022,Spring,Dayton,0.0015,0.485,0.0214,0.007,1.404,0.021,,23.8,9.25,13.19,156.3,352.5,56.82,,Data is in Survey123,6/15/2022,6/27/2022,9/20/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Great Miami River (Wetland inflow),5,W01651,052022_SPC_5,5/20/2022,2022,Spring,2022,Spring,Dayton,0.031,2.132,0.0088,0.006,3.438,0.085,,20.5,8.53,9.33,103.7,614,5.1,,Data is in Survey123,6/15/2022,6/27/2022,9/20/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Great Miami River (Upstream at Covered Bridge),6,W01652,052022_SPC_6,5/20/2022,2022,Spring,2022,Spring,Dayton,0.026,1.797,0.0093,0.007,2.021,0.101,,21.4,8.56,9.72,110,615,5.2,,Data is in Survey123,6/14/2022,6/27/2022,9/20/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Springcreek (Upstream of SC Connector),1,W02047,SPC_070622_1,7/6/2022,2022,Summer,2022,Summer,Lake,0.009,1.597,0.0469,0.015,3.429,0.064,,22.7,8.42,8.05,93.5,557,8.5,,Data is in Survey123,9/13/2022,9/21/22 (TP) 9/22/21 (TN),9/20/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,North Pool (Near SC Conncetor),2,W02048,SPC_070622_2,7/6/2022,2022,Summer,2022,Summer,Lake,0.0015,1.994,0.0921,0.056,3.805,0.013,,22.9,7.64,10.5,122,527,32,raining,Data is in Survey123,9/13/2022,9/21/22 (TP) 9/22/21 (TN),9/20/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Connecting Channel,3,W02049,SPC_070622_3,7/6/2022,2022,Summer,2022,Summer,Lake,0.0015,1.984,0.0586,0.082,3.143,0.036,,23.8,8.38,11.8,140,512,9.1,,Data is in Survey123,9/13/2022,9/21/22 (TP) 9/22/21 (TN),9/20/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,South Pool (Near GMR Connector),4,W02050,SPC_070622_4,7/6/2022,2022,Summer,2022,Summer,Lake,0.0015,0.79,0.0244,0.045,2.442,0.073,,27.3,8.56,7.9,97,381,20.3,,Data is in Survey123,9/13/2022,9/21/22 (TP) 9/22/21 (TN),9/20/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Great Miami River (Wetland inflow),5,W02051,SPC_070622_5,7/6/2022,2022,Summer,2022,Summer,Lake,0.439,1.33,0.1205,0.052,3.198,0.691,,24.4,8.29,6.73,80.7,649,15.8,raining,Data is in Survey123,9/13/2022,9/21/22 (TP) 9/22/21 (TN),9/20/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Great Miami River (Upstream at Covered Bridge),6,W02052,SPC_070622_6,7/6/2022,2022,Summer,2022,Summer,Lake,0.514,1.221,0.0183,0.037,3.219,0.634,,24.5,8.16,6.7,85.5,609,17.8,,Data is in Survey123,9/13/2022,9/21/22 (TP) 9/22/21 (TN),9/20/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Springcreek (Upstream of SC Connector),1,W01693,SPC_080522_1,8/5/2022,2022,Summer,2022,Summer,Dayton,0.005,1.476,0.0075,0.003,1.624,0.005,,23.5,8.7,9.16,107.8,625,1.3,,Yes,9/13/2022,9/22/2022,9/20/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,North Pool (Near SC Conncetor),2,W01694,SPC_080522_2,8/5/2022,2022,Summer,2022,Summer,Dayton,0.0015,1.118,0.0089,0.016,1.536,0.005,,24.1,7.76,9.06,109.1,564,27.9,,Yes,9/13/2022,9/22/2022,9/20/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Connecting Channel,3,W01695,SPC_080522_3,8/5/2022,2022,Summer,2022,Summer,Dayton,0.0015,0.659,0.0304,0.1,1.542,0.021,,27.1,8.57,11.9,150.3,489,40.2,Thick algal mats in connecting channel - no flow between N pool and S pool,Yes,9/13/2022,9/22/2022,9/20/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,South Pool (Near GMR Connector),4,W01696,SPC_080522_4,8/5/2022,2022,Summer,2022,Summer,Dayton,0.0015,0.03,0.0045,0.005,0.795,0.069,,27.8,8.59,2.47,31,384,81.9,Red/brown algae near connecting channel - may be Euglena,Yes,9/13/2022,9/22/2022,9/20/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Great Miami River (Wetland inflow),5,W01697,SPC_080522_5,8/5/2022,2022,Summer,2022,Summer,Dayton,0.501,0.942,0.0123,0.017,1.064,0.671,,25.2,8.72,8.24,100.2,711,5.5,"GMR Flow at USGS 03262700 (Troy, OH) 154 cfs",Yes,9/13/2022,9/22/2022,9/20/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Great Miami River (Upstream at Covered Bridge),6,W01698,SPC_080522_6,8/5/2022,2022,Summer,2022,Summer,Dayton,0.59,1.089,0.0269,0.021,1.935,0.756,,26.5,8.85,9.44,117.5,717,3.7,,Yes,9/13/2022,9/22/2022,9/20/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Springcreek (Upstream of SC Connector),1,W01714,SPC_090722_1,9/7/2022,2022,Summer,2022,Summer,Dayton,0.01,0.451,0.0113,0.005,0.962,0.042,,20.2,8.75,9.2,101.7,518,2.1,,Yes,11/9/2022,11/10/2022,9/21/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,North Pool (Near SC Conncetor),2,W01715,SPC_090722_2,9/7/2022,2022,Summer,2022,Summer,Dayton,0.003,0.798,0.026,0.12,2.217,0.013,,23.1,8.01,8.53,98.2,580,15.3,,Yes,11/9/2022,11/10/2022,9/21/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Connecting Channel,3,W01716,SPC_090722_3,9/7/2022,2022,Summer,2022,Summer,Dayton,0.005,0.173,0.0262,0.59,4.804,0.049,,25.4,8.34,11.67,142.4,725,127.2,Connecting channel not flowing. Small pool of water left in middle,Yes,11/9/2022,11/10/2022,9/21/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,South Pool (Near GMR Connector),4,W01717,SPC_090722_4,9/7/2022,2022,Summer,2022,Summer,Dayton,0.0015,0.4,0.0089,0.005,1.848,0.04,,23.7,8.00,8.46,99.7,510,61.6,,Yes,11/9/2022,11/10/2022,9/21/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Great Miami River (Wetland inflow),5,W01718,SPC_090722_5,9/7/2022,2022,Summer,2022,Summer,Dayton,0.172,2.126,0.0265,0.028,3.379,0.275,,22.2,8.45,8.37,96.1,506,19.9,,Yes,11/9/2022,11/10/2022,9/21/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Great Miami River (Upstream at Covered Bridge),6,W01719,SPC_090722_6,9/7/2022,2022,Summer,2022,Summer,Dayton,0.195,2.096,0.0174,0.028,3.293,0.307,,22.5,8.49,8.61,99.6,506,19.4,,Yes,11/9/2022,11/10/2022,9/21/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,North Pool (Near SC Conncetor),2,W01726,SPC_100322_2,10/3/2022,2022,Fall,2023,Fall,Dayton,0.0015,0.744,0.0075,0.0058,1.121,0.005,,17.2,8.82,13.4,139.6,538,4.3,Water low - HOBO Exposed,Yes,1/24/2023,2/1/23 (TN) 2/3/23 (TP),2/20/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,South Pool (Near GMR Connector),4,W01728,SPC_100322_4,10/3/2022,2022,Fall,2023,Fall,Dayton,0.0015,0.35,0.0127,0.0209,1.097,0.005,,16.8,8.62,13.05,134.7,456.4,14.5,,Yes,1/24/2023,2/1/23 (TN) 2/3/23 (TP),2/20/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Great Miami River (Wetland inflow),5,W01729,SPC_100322_5,10/3/2022,2022,Fall,2023,Fall,Dayton,0.102,0.915,0.0088,0.0046,1.577,0.309,,15.6,9.07,11.88,119.6,690,2.2,,Yes,1/24/2023,2/1/23 (TN) 2/3/23 (TP),2/20/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Great Miami River (Upstream at Covered Bridge),6,W01730,SPC_100322_6,10/3/2022,2022,Fall,2023,Fall,Dayton,0.079,0.88,0.0121,0.0063,1.628,0.296,,16.2,9.2,12.43,126.5,695,1.9,,Yes,1/24/2023,2/1/23 (TN) 2/3/23 (TP),2/20/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,North Pool (Near SC Conncetor),2,W01742,SPC_110222_2,11/2/2022,2022,Fall,2023,Fall,Dayton,0.0015,0.428,0.0109,0.0032,1.083,0.005,45,13.8,9.2,19.83,192,442.2,5.4,Water low - HOBO Exposed (no longer under water but some areas still have 45 cm+ water depth),Yes,1/24/2023,2/1/23 (TN) 2/3/23 (TP),2/20/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,South Pool (Near GMR Connector),4,W01744,SPC_110222_4,11/2/2022,2022,Fall,2023,Fall,Dayton,0.0015,0.235,0.0156,0.0055,1.586,0.005,30,14.8,8.65,12.96,128.2,479.9,101.8,Water level low - HOBO almost exposed,Yes,1/24/2023,2/1/23 (TN) 2/3/23 (TP),2/20/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Great Miami River (Wetland inflow),5,W01745,SPC_110222_5,11/2/2022,2022,Fall,2023,Fall,Dayton,0.365,0.515,0.0175,0.0031,1.257,0.407,30,13.7,8.7,11.03,106.6,749,1.43,,Yes,1/24/2023,2/1/23 (TN) 2/3/23 (TP),2/20/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Great Miami River (Upstream at Covered Bridge),6,W01746,SPC_110222_6,11/2/2022,2022,Fall,2023,Fall,Dayton,0.382,0.412,0.0182,0.0071,1.531,0.432,30,14.1,8.77,12.23,119.1,753,1.25,,Yes,1/24/2023,2/1/23 (TN) 2/3/23 (TP),2/20/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,North Pool (Near SC Conncetor),2,W01759,SPC_120722_2,12/7/2022,2022,Fall,2023,Fall,Dayton,0.0015,1.066,0.0092,0.0064,0.913,0.005,40,6.9,8.23,19.29,158.7,196,3.7,,Yes,3/28/23 (NOx) 3/29/23 (SRP),4/5/2023,2/20/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,South Pool (Near GMR Connector),4,W01761,SPC_120722_4,12/7/2022,2022,Fall,2023,Fall,Dayton,0.0015,0.954,0.0145,0.0151,3.009,0.135,20,7.9,7.89,14.64,123.6,525,12.8,,Yes,3/28/23 (NOx) 3/29/23 (SRP),4/5/2023,2/20/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Great Miami River (Wetland inflow),5,W10762,SPC_120722_5,12/7/2022,2022,Fall,2023,Fall,Dayton,0.378,1.373,0.0086,0.005,1.565,0.417,38,6.3,8.05,12.7,103,787,1.4,,Yes,3/28/23 (NOx) 3/29/23 (SRP),4/5/2023,2/20/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Great Miami River (Upstream at Covered Bridge),6,W01763,SPC_120722_6,12/7/2022,2022,Fall,2023,Fall,Dayton,0.388,1.275,0.0086,0.0027,1.408,0.398,35,6.3,8.19,13.84,112.3,787,1.3,,Yes,3/28/23 (NOx) 3/29/23 (SRP),4/5/2023,2/20/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Springcreek (Upstream of SC Connector),1,W02127,010523_SPC_1,1/5/2023,2023,Winter,2023,Winter,Lake ,0.0015,5.488,0.026063292,0.0066,6.956,0.026,25,6.6,8.2,11.34,92.9,597,4.63,,Yes,1/24/2023,2/1/23 (TN) 2/3/23 (TP),,10/11/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,North Pool (Near SC Conncetor),2,W02133,010523_SPC_2,1/5/2023,2023,Winter,2023,Winter,Lake ,0.0015,2.214,-0.012145983,0.0338,3.276,0.005,45,8.4,7.76,9.23,79.2,615,1.36,,Yes,1/23/2023,2/1/23 (TN) 2/3/23 (TP),,10/11/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,South Pool (Near GMR Connector),4,W02135,010523_SPC_4,1/5/2023,2023,Winter,2023,Winter,Lake ,0.0015,2.017,0.020191091,0.0685,2.943,0.034,30,8.1,7.61,10.11,86.1,625,12.41,,Yes,1/23/2023,2/1/23 (TN) 2/3/23 (TP),,10/11/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Great Miami River (Wetland inflow),5,W02136,010523_SPC_5,1/5/2023,2023,Winter,2023,Winter,Lake ,0.114,6.137,0.026695008,0.0795,7.787,0.263,90,7.2,8.04,10.7,89.3,638,35.7,,Yes,1/23/2023,2/1/23 (TN) 2/3/23 (TP),,10/11/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Great Miami River (Upstream at Covered Bridge),6,W02137,010523_SPC_6,1/5/2023,2023,Winter,2023,Winter,Lake ,0.138,6.284,0.064230499,0.0918,8.42,0.297,60,7.4,8.15,10.95,91.3,637,46.7,,Yes,1/23/2023,2/1/23 (TN) 2/3/23 (TP),,10/11/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Springcreek (Upstream of SC Connector),1,W01789,SPC_020923_1,2/9/2023,2023,Winter,2023,Winter,Dayton,0.0015,3.611,0.0046,0.005,3.611,0.005,11,8.6,8.33,13.21,113.4,579,2.28,Did not overflow into wetland; may not have been peak flow yet,Yes,3/28/23 (NOx) 3/29/23 (SRP),4/5/2023,2/20/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,North Pool (Near SC Conncetor),2,W01790,SPC_020923_2,2/9/2023,2023,Winter,2023,Winter,Dayton,0.0015,3.894,0.003,0.005,4.143,0.005,70,8.3,8.54,13.31,113.3,541,2.1,Water level up,Yes,3/28/23 (NOx) 3/29/23 (SRP),4/5/2023,2/20/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,South Pool (Near GMR Connector),4,W01791,SPC_020923_4,2/9/2023,2023,Winter,2023,Winter,Dayton,0.0015,0.759,0.0041,0.005,1.309,0.022,40,9.4,8.33,14.98,131.2,517,6.78,Water level up,Yes,3/28/23 (NOx) 3/29/23 (SRP),4/5/2023,2/20/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
